infotype,risklevel,estimate,stderror,tvalue,pvalue
CreditCardNumber,state,0.072,0.258,0.277,0.782
DateOfBirth,state,1.219,0.551,2.211,0.027
Diseases,state,1.802,0.551,3.269,0.001
DriversLicenseInformation,state,0.99,0.258,3.834,0
EmailAddress,state,1.108,0.551,2.009,0.044
FullName,state,0.261,0.258,1.011,0.312
HomeAddress,state,0.143,0.258,0.553,0.58
HomeState,state,1.163,0.551,2.11,0.035
MedicalProcedure,state,1.913,0.551,3.471,0.001
PhoneNumber,state,0.127,0.258,0.492,0.622
SSN,state,1.302,0.551,2.362,0.018
CreditCardNumber,city,-0.551,0.257,-2.149,0.032
DateOfBirth,city,1.234,0.541,2.279,0.023
Diseases,city,1.79,0.541,3.305,0.001
DriversLicenseInformation,city,0.257,0.257,1.001,0.317
EmailAddress,city,0.151,0.541,0.278,0.781
FullName,city,-0.173,0.257,-0.676,0.499
HomeAddress,city,-0.014,0.257,-0.055,0.956
HomeState,city,1.04,0.541,1.92,0.055
MedicalProcedure,city,1.79,0.541,3.305,0.001
PhoneNumber,city,-0.028,0.257,-0.11,0.912
SSN,city,0.901,0.541,1.663,0.096
CreditCardNumber,workplace,-0.262,0.258,-1.014,0.311
DateOfBirth,workplace,0.088,0.511,0.172,0.864
Diseases,workplace,1.338,0.511,2.618,0.009
DriversLicenseInformation,workplace,0.24,0.258,0.929,0.353
EmailAddress,workplace,0.171,0.511,0.335,0.738
FullName,workplace,-0.306,0.258,-1.183,0.237
HomeAddress,workplace,-0.041,0.258,-0.157,0.875
HomeState,workplace,0.81,0.511,1.585,0.113
MedicalProcedure,workplace,1.754,0.511,3.433,0.001
PhoneNumber,workplace,-0.048,0.258,-0.185,0.853
SSN,workplace,0.643,0.511,1.259,0.208
CreditCardNumber,country,0.113,0.258,0.439,0.661
DateOfBirth,country,2.406,0.532,4.524,0
Diseases,country,2.379,0.532,4.472,0
DriversLicenseInformation,country,0.823,0.258,3.189,0.001
EmailAddress,country,1.267,0.532,2.383,0.017
FullName,country,0.486,0.258,1.883,0.06
HomeAddress,country,0.526,0.258,2.038,0.042
HomeState,country,1.962,0.532,3.689,0
MedicalProcedure,country,2.156,0.532,4.054,0
PhoneNumber,country,0.31,0.258,1.203,0.229
SSN,country,1.545,0.532,2.905,0.004
CreditCardNumber,family,0,,,0
DateOfBirth,family,0,,,0
Diseases,family,0,,,0
DriversLicenseInformation,family,0,,,0
EmailAddress,family,0,,,0
FullName,family,0,,,0
HomeAddress,family,0,,,0
HomeState,family,0,,,0
MedicalProcedure,family,0,,,0
PhoneNumber,family,0,,,0
SSN,family,0,,,0
AgeRange,family,0,,,0
AgeRange,city,0,,,0
AgeRange,workplace,0,,,0
AgeRange,state,0,,,0
AgeRange,country,0,,,0
Emails,state,0.194,0.447,0.435,0.664
HostName,state,0.778,0.447,1.739,0.082
IPAddress,state,0.056,0.447,0.124,0.901
MACAddress,state,0.667,0.447,1.490,0.136
WebsitesVisited,state,0.444,0.447,0.994,0.320
Emails,city,0.639,0.447,1.428,0.153
HostName,city,0.222,0.447,0.497,0.619
IPAddress,city,0.417,0.447,0.931,0.352
MACAddress,city,0.750,0.447,1.677,0.094
WebsitesVisited,city,0.917,0.447,2.049,0.040
Emails,workplace,0.278,0.447,0.621,0.535
HostName,workplace,-0.556,0.447,-1.242,0.214
IPAddress,workplace,-0.222,0.447,-0.497,0.619
MACAddress,workplace,0.250,0.447,0.559,0.576
WebsitesVisited,workplace,0.861,0.447,1.925,0.054
Emails,country,-0.694,0.447,-1.552,0.121
HostName,country,0.167,0.447,0.373,0.709
IPAddress,country,-0.972,0.447,-2.173,0.030
MACAddress,country,-0.361,0.447,-0.807,0.420
WebsitesVisited,country,0.806,0.447,1.801,0.072
